ACG,Brand,Market,Product ID,CG,SCG,Long Name,Sales,Vollume,calender week,MAT,'YTD
Corporate,California,West,OFF-AP-10002082,Office Supplies,Appliances,Holmes HEPA Air Purifier,"43,56",2,6,MAT-2,Null
Corporate,Maine,East,TEC-PH-10001944,Technology,Phones,Wi-Ex zBoost YX540 Cellular Phone Signal Booster,"437,85",3,7,MAT,Null
Corporate,Maine,East,FUR-FU-10004952,Furniture,Furnishings,"C-Line Cubicle Keepers Polyproplyene Holder w/Velcro Back, 8-1/2x11, 25/Bx","109,48",2,8,MAT-1,Null
Consumer,California,West,FUR-CH-10000015,Furniture,Chairs,Hon Multipurpose Stacking Arm Chairs,"1212,96",7,9,MAT-2,Null
Consumer,California,West,OFF-PA-10001776,Office Supplies,Paper,"Wirebound Message Books, Four 2 3/4"" x 5"" Forms per Page, 600 Sets per Book","18,54",2,10,MAT,Null
Home Office,California,West,OFF-FA-10002280,Office Supplies,Fasteners,Advantus Plastic Paper Clips,5,1,11,MAT-1,Null
Home Office,California,West,TEC-AC-10002049,Technology,Accessories,Logitech G19 Programmable Gaming Keyboard,"371,97",3,12,MAT-2,Null
Consumer,New York,East,TEC-AC-10002253,Technology,Accessories,Imation Bio 8GB USB Flash Drive Imation Corp,"166,24",1,13,MAT,YTD
Consumer,Virginia,South,FUR-BO-10004015,Furniture,Bookcases,"Bush Andora Bookcase, Maple/Graphite Gray Finish","359,97",3,1,MAT-1,Null
Consumer,Georgia,South,TEC-AC-10004145,Technology,Accessories,Logitech diNovo Edge Keyboard,"499,98",2,2,MAT-2,Null
Consumer,Georgia,South,OFF-PA-10002479,Office Supplies,Paper,Xerox 4200 Series MultiUse Premium Copy Paper (20Lb. and 84 Bright),"5,28",1,3,MAT,Null
Consumer,Georgia,South,OFF-BI-10004970,Office Supplies,Binders,"ACCOHIDE 3-Ring Binder, Blue, 1""","8,26",2,4,MAT-1,Null
Home Office,North Carolina,South,OFF-PA-10003919,Office Supplies,Paper,Xerox 1989,"7,968",2,5,MAT-2,Null
Consumer,Washington,West,OFF-PA-10002001,Office Supplies,Paper,Xerox 1984,"12,96",2,6,MAT,Null
Corporate,New York,East,OFF-PA-10002787,Office Supplies,Paper,Xerox 227,"6,48",1,7,MAT-1,Null
Corporate,New York,East,OFF-BI-10003291,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,"6,984",1,8,MAT-2,Null
Corporate,Florida,South,OFF-AR-10004344,Office Supplies,Art,Bulldog Vacuum Base Pencil Sharpener,"47,96",5,9,MAT,Null
Consumer,Washington,West,OFF-ST-10003123,Office Supplies,Storage,Fellowes Bases and Tops For Staxonsteel/High-Stak Systems,"199,74",6,10,MAT-1,Null
Consumer,California,West,FUR-FU-10000308,Furniture,Furnishings,Deflect-o Glass Clear Studded Chair Mats,"435,26",7,11,MAT-2,Null
Consumer,California,West,TEC-CO-10003763,Technology,Copiers,Canon PC1060 Personal Laser Copier,"1119,984",2,12,MAT,Null
Corporate,California,West,FUR-TA-10001866,Furniture,Tables,Bevis Round Conference Room Tables and Bases,"143,432",1,13,MAT-1,YTD-1
Corporate,California,West,FUR-CH-10002774,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray","122,352",3,1,MAT-2,Null
Consumer,Mississippi,South,OFF-ST-10004337,Office Supplies,Storage,"SAFCO Commercial Wire Shelving, 72h","306,2",5,2,MAT,Null
Consumer,Mississippi,South,FUR-TA-10001039,Furniture,Tables,KI Adjustable-Height Table,"85,98",1,3,MAT-1,Null
Consumer,Mississippi,South,TEC-AC-10000109,Technology,Accessories,Sony Micro Vault Click 16 GB USB 2.0 Flash Drive,"223,96",4,4,MAT-2,Null
Consumer,Washington,West,FUR-CH-10003833,Furniture,Chairs,Novimex Fabric Task Chair,"97,568",2,5,MAT,Null
Consumer,Washington,West,FUR-CH-10004289,Furniture,Chairs,Global Super Steno Chair,"614,272",8,6,MAT-1,Null
Consumer,Washington,West,FUR-BO-10004467,Furniture,Bookcases,Bestar Classic Bookcase,"199,98",2,7,MAT-2,Null
Corporate,Connecticut,East,OFF-PA-10002713,Office Supplies,Paper,"Adams Phone Message Book, 200 Message Capacity, 8 1/16” x 11”","48,16",7,8,MAT,Null
Consumer,Indiana,Central,TEC-PH-10001552,Technology,Phones,I Need's 3d Hello Kitty Hybrid Silicone Case Cover for HTC One X 4g with 3d Hello Kitty Stylus Pen Green/pink,"23,92",2,9,MAT-1,Null
Consumer,Indiana,Central,OFF-AP-10002222,Office Supplies,Appliances,Staple holder,"60,69",7,10,MAT-2,Null
Corporate,Tennessee,South,OFF-PA-10003971,Office Supplies,Paper,Xerox 1965,"14,352",3,11,MAT,Null
Consumer,Virginia,South,OFF-AP-10004036,Office Supplies,Appliances,Bionaire 99.97% HEPA Air Cleaner,"35,04",2,12,MAT-1,Null
Corporate,Ohio,East,OFF-AP-10002287,Office Supplies,Appliances,"Eureka Sanitaire  Multi-Pro Heavy-Duty Upright, Disposable Bags","17,48",5,13,MAT-2,YTD-2
Consumer,California,West,OFF-AR-10002375,Office Supplies,Art,Newell 351,"16,4",5,1,MAT,Null
Corporate,Washington,West,FUR-TA-10001950,Furniture,Tables,Balt Solid Wood Round Tables,"892,98",2,2,MAT-1,Null
Corporate,Georgia,South,TEC-PH-10001557,Technology,Phones,Pyle PMP37LED,"287,97",3,3,MAT-2,Null
Corporate,Georgia,South,FUR-FU-10002937,Furniture,Furnishings,"GE 48"" Fluorescent Tube, Cool White Energy Saver, 34 Watts, 30/Box","595,38",6,4,MAT,Null
Corporate,Georgia,South,OFF-PA-10001166,Office Supplies,Paper,Xerox 2,"12,96",2,5,MAT-1,Null
Corporate,New York,East,TEC-PH-10000347,Technology,Phones,Cush Cases Heavy Duty Rugged Cover Case for Samsung Galaxy S5 - Purple,"4,95",1,6,MAT-2,Null
Corporate,Connecticut,East,FUR-FU-10003708,Furniture,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""","181,95",3,7,MAT,Null
Consumer,New York,East,OFF-PA-10002659,Office Supplies,Paper,Avoid Verbal Orders Carbonless Minifold Book,"13,52",4,8,MAT-1,Null
Consumer,New York,East,FUR-FU-10000965,Furniture,Furnishings,"Howard Miller 11-1/2"" Diameter Ridgewood Wall Clock","259,7",5,9,MAT-2,Null
Consumer,New York,East,TEC-PH-10001527,Technology,Phones,Plantronics MX500i Earset,"42,95",1,10,MAT,Null
Consumer,New York,East,TEC-AC-10001838,Technology,Accessories,Razer Tiamat Over Ear 7.1 Surround Sound PC Gaming Headset,"1399,93",7,11,MAT-1,Null
Consumer,New York,East,TEC-PH-10002597,Technology,Phones,Xblue XB-1670-86 X16 Small Office Telephone - Titanium,"503,96",4,12,MAT-2,Null
Consumer,Michigan,Central,OFF-BI-10000756,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,"12,72",3,13,MAT,YTD
Consumer,Michigan,Central,OFF-BI-10000546,Office Supplies,Binders,Avery Durable Binders,"11,52",4,1,MAT-1,Null
Corporate,Georgia,South,TEC-AC-10001142,Technology,Accessories,First Data FD10 PIN Pad,316,4,2,MAT-2,Null
Home Office,Georgia,South,FUR-CH-10000785,Furniture,Chairs,Global Ergonomic Managers Chair,"723,92",4,3,MAT,Null
Home Office,Georgia,South,OFF-PA-10000474,Office Supplies,Paper,Easy-staple paper,"106,32",3,4,MAT-1,Null
Corporate,Illinois,Central,FUR-BO-10003441,Furniture,Bookcases,"Bush Westfield Collection Bookcases, Fully Assembled","141,372",2,5,MAT-2,Null
Corporate,Texas,Central,OFF-PA-10004156,Office Supplies,Paper,Xerox 188,"27,216",3,6,MAT,Null
Consumer,New York,East,TEC-AC-10001432,Technology,Accessories,Enermax Aurora Lite Keyboard,"390,75",5,7,MAT-1,Null
Home Office,Arizona,West,FUR-CH-10001394,Furniture,Chairs,Global Leather Executive Chair,"280,792",1,8,MAT-2,Null
Home Office,Arizona,West,OFF-ST-10002370,Office Supplies,Storage,"Sortfiler Multipurpose Personal File Organizer, Black","68,448",4,9,MAT,Null
Home Office,Arizona,West,OFF-AR-10002956,Office Supplies,Art,Boston 16801 Nautilus Battery Pencil Sharpener,"88,04",5,10,MAT-1,Null
Home Office,Arizona,West,OFF-AR-10001955,Office Supplies,Art,Newell 319,"15,872",1,11,MAT-2,Null
Home Office,Arizona,West,OFF-ST-10001809,Office Supplies,Storage,Fellowes Officeware Wire Shelving,"215,592",3,12,MAT,Null
Corporate,South Dakota,Central,OFF-LA-10004093,Office Supplies,Labels,Avery 486,"14,62",2,13,MAT-1,YTD
Corporate,South Dakota,Central,OFF-AP-10002118,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators","416,32",2,1,MAT-2,Null
Corporate,South Dakota,Central,OFF-BI-10000404,Office Supplies,Binders,Avery Printable Repositionable Plastic Tabs,43,5,2,MAT,Null
Corporate,South Dakota,Central,FUR-CH-10003833,Furniture,Chairs,Novimex Fabric Task Chair,"182,94",3,3,MAT-1,Null
Corporate,South Dakota,Central,OFF-BI-10002072,Office Supplies,Binders,Cardinal Slant-D Ring Binders,"60,83",7,4,MAT-2,Null
Corporate,South Dakota,Central,TEC-AC-10003095,Technology,Accessories,Logitech G35 7.1-Channel Surround Sound Headset,"389,97",3,5,MAT,Null
Consumer,Virginia,South,OFF-AP-10001563,Office Supplies,Appliances,Belkin Premiere Surge Master II 8-outlet surge protector,"194,32",4,6,MAT-1,Null
Corporate,Washington,West,TEC-AC-10000358,Technology,Accessories,Imation Secure Drive + Hardware Encrypted USB flash drive - 16 GB,"265,93",7,7,MAT-2,Null
Corporate,Kentucky,South,OFF-BI-10004492,Office Supplies,Binders,Tuf-Vin Binders,"94,74",3,8,MAT,Null
Corporate,Kentucky,South,OFF-BI-10001072,Office Supplies,Binders,"GBC Clear Cover, 8-1/2 x 11, unpunched, 25 covers per pack","60,64",4,9,MAT-1,Null
Corporate,Kentucky,South,OFF-BI-10003707,Office Supplies,Binders,Aluminum Screw Posts,"76,3",5,10,MAT-2,Null
Corporate,Kentucky,South,OFF-BI-10000977,Office Supplies,Binders,Ibico Plastic Spiral Binding Combs,"364,8",12,11,MAT,Null
Corporate,New York,East,OFF-BI-10002082,Office Supplies,Binders,GBC Twin Loop Wire Binding Elements,"79,872",3,12,MAT-1,Null
Corporate,New York,East,FUR-BO-10004709,Furniture,Bookcases,"Bush Westfield Collection Bookcases, Medium Cherry Finish","46,384",1,13,MAT-2,YTD-1
Corporate,New York,East,OFF-PA-10002365,Office Supplies,Paper,Xerox 1967,"12,96",2,1,MAT,Null
Home Office,Colorado,West,OFF-EN-10004147,Office Supplies,Envelopes,Wausau Papers Astrobrights Colored Envelopes,"14,352",3,2,MAT-1,Null
Corporate,Pennsylvania,East,FUR-FU-10001468,Furniture,Furnishings,Tenex Antistatic Computer Chair Mats,"547,136",4,3,MAT-2,Null
Corporate,California,West,OFF-ST-10000642,Office Supplies,Storage,"Tennsco Lockers, Gray","41,96",2,4,MAT,Null
Corporate,California,West,OFF-PA-10000380,Office Supplies,Paper,"REDIFORM Incoming/Outgoing Call Register, 11"" X 8 1/2"", 100 Messages","41,7",5,5,MAT-1,Null
Consumer,Indiana,Central,OFF-PA-10004071,Office Supplies,Paper,"Eaton Premium Continuous-Feed Paper, 25% Cotton, Letter Size, White, 1000 Shts/Box","277,4",5,6,MAT-2,Null
Consumer,Indiana,Central,OFF-PA-10004971,Office Supplies,Paper,Xerox 196,"5,78",1,7,MAT,Null
Consumer,Tennessee,South,OFF-AP-10000696,Office Supplies,Appliances,Holmes Odor Grabber,"69,216",6,8,MAT-1,Null
Consumer,Connecticut,East,OFF-EN-10004030,Office Supplies,Envelopes,Convenience Packs of Business Envelopes,"10,86",3,9,MAT-2,Null
Consumer,Connecticut,East,OFF-AP-10000026,Office Supplies,Appliances,Tripp Lite Isotel 6 Outlet Surge Protector with Fax/Modem Protection,"426,79",7,10,MAT,Null
Consumer,New York,East,OFF-PA-10003936,Office Supplies,Paper,Xerox 1994,"25,92",4,11,MAT-1,Null
Consumer,New York,East,OFF-PA-10004530,Office Supplies,Paper,Personal Creations Ink Jet Cards and Labels,"45,92",4,12,MAT-2,Null
Consumer,Ohio,East,OFF-AR-10004930,Office Supplies,Art,Turquoise Lead Holder with Pocket Clip,"10,72",2,13,MAT,YTD-2
Consumer,Georgia,South,OFF-AR-10004999,Office Supplies,Art,Newell 315,"41,86",7,1,MAT-1,Null
Home Office,Massachusetts,East,FUR-FU-10002501,Furniture,Furnishings,Nu-Dell Executive Frame,"63,2",5,2,MAT-2,Null
Home Office,Massachusetts,East,TEC-AC-10000358,Technology,Accessories,Imation Secure Drive + Hardware Encrypted USB flash drive - 16 GB,"113,97",3,3,MAT,Null
Consumer,Illinois,Central,OFF-ST-10004804,Office Supplies,Storage,"Belkin 19"" Vented Equipment Shelf, Black","123,552",3,4,MAT-1,Null
Home Office,Wisconsin,Central,OFF-AP-10001205,Office Supplies,Appliances,Belkin 5 Outlet SurgeMaster Power Centers,"490,32",9,5,MAT-2,Null
Consumer,Texas,Central,OFF-PA-10000659,Office Supplies,Paper,"TOPS Carbonless Receipt Book, Four 2-3/4 x 7-1/4 Money Receipts per Page","70,08",5,6,MAT,Null
Consumer,Texas,Central,OFF-BI-10004141,Office Supplies,Binders,Insertable Tab Indexes For Data Binders,"1,272",2,7,MAT-1,Null
Consumer,Texas,Central,FUR-TA-10004619,Furniture,Tables,Hon Non-Folding Utility Tables,"557,585",5,8,MAT-2,Null
Corporate,California,West,OFF-BI-10004187,Office Supplies,Binders,3-ring staple pack,"9,024",6,9,MAT,Null
Corporate,California,West,OFF-BI-10000632,Office Supplies,Binders,Satellite Sectional Post Binders,"69,456",2,10,MAT-1,Null
Corporate,California,West,OFF-PA-10003724,Office Supplies,Paper,"Wirebound Message Book, 4 per Page","10,86",2,11,MAT-2,Null
Corporate,California,West,OFF-AP-10002765,Office Supplies,Appliances,Fellowes Advanced Computer Series Surge Protectors,"79,47",3,12,MAT,Null
Corporate,California,West,OFF-AR-10001868,Office Supplies,Art,Prang Dustless Chalk Sticks,"10,08",6,13,MAT-1,YTD
Corporate,California,West,FUR-BO-10002545,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors","1552,831",7,1,MAT-2,Null
Corporate,California,West,OFF-BI-10002735,Office Supplies,Binders,GBC Prestige Therm-A-Bind Covers,"137,24",5,2,MAT,Null
Corporate,California,West,TEC-AC-10004864,Technology,Accessories,Memorex Micro Travel Drive 32 GB,"36,51",1,3,MAT-1,Null
Corporate,California,West,TEC-MA-10000597,Technology,Machines,Lexmark S315 Color Inkjet Printer,"239,976",3,4,MAT-2,Null
Corporate,New York,East,FUR-TA-10003473,Furniture,Tables,Bretford Rectangular Conference Table Tops,"1579,746",7,5,MAT,Null
Corporate,New York,East,FUR-TA-10001950,Furniture,Tables,Balt Solid Wood Round Tables,"1071,576",4,6,MAT-1,Null
Corporate,New York,East,FUR-TA-10004175,Furniture,Tables,"Hon 30"" x 60"" Table with Locking Drawer","613,908",3,7,MAT-2,Null
Corporate,New York,East,OFF-PA-10002960,Office Supplies,Paper,Xerox 1926,"34,86",7,8,MAT,Null
Corporate,New York,East,OFF-PA-10000919,Office Supplies,Paper,Xerox 1918,"155,04",4,9,MAT-1,Null
Consumer,Ohio,East,OFF-BI-10001553,Office Supplies,Binders,SpineVue Locking Slant-D Ring Binders by Cardinal,"13,71",5,10,MAT-2,Null
Home Office,Virginia,South,FUR-FU-10004864,Furniture,Furnishings,"Howard Miller 14-1/2"" Diameter Chrome Round Wall Clock","127,88",2,11,MAT,Null
Home Office,Virginia,South,OFF-AP-10004540,Office Supplies,Appliances,"Eureka The Boss Lite 10-Amp Upright Vacuum, Blue","160,32",2,12,MAT-1,Null
Home Office,Virginia,South,OFF-BI-10004965,Office Supplies,Binders,Ibico Covers for Plastic or Wire Binding Elements,46,4,13,MAT-2,YTD
Consumer,California,West,FUR-CH-10001714,Furniture,Chairs,"Global Leather & Oak Executive Chair, Burgundy","120,712",1,1,MAT,Null
Consumer,Maryland,East,OFF-PA-10002464,Office Supplies,Paper,HP Office Recycled Paper (20Lb. and 87 Bright),"23,12",4,2,MAT-1,Null
Corporate,Ohio,East,FUR-FU-10002298,Furniture,Furnishings,"Rubbermaid ClusterMat Chairmats, Mat Size- 66"" x 60"", Lip 20"" x 11"" -90 Degree Angle","532,704",6,3,MAT-2,Null
Corporate,Ohio,East,OFF-AR-10000315,Office Supplies,Art,"Dixon Ticonderoga Maple Cedar Pencil, #2","4,912",2,4,MAT,Null
Corporate,Rhode Island,East,TEC-AC-10004353,Technology,Accessories,Hypercom P1300 Pinpad,252,4,5,MAT-1,Null
Corporate,Illinois,Central,FUR-FU-10004973,Furniture,Furnishings,Flat Face Poster Frame,"60,288",8,6,MAT-2,Null
Corporate,Illinois,Central,OFF-FA-10000936,Office Supplies,Fasteners,Acco Hot Clips Clips to Go,"2,632",1,7,MAT,Null
Corporate,Illinois,Central,OFF-PA-10001609,Office Supplies,Paper,Tops Wirebound Message Log Books,"23,688",9,8,MAT-1,Null
Corporate,Illinois,Central,FUR-CH-10000785,Furniture,Chairs,Global Ergonomic Managers Chair,"253,372",2,9,MAT-2,Null
Consumer,Georgia,South,OFF-FA-10000053,Office Supplies,Fasteners,Revere Boxed Rubber Bands by Revere,"5,67",3,10,MAT,Null
Consumer,Ohio,East,OFF-BI-10001718,Office Supplies,Binders,GBC DocuBind P50 Personal Binding Machine,"76,776",4,11,MAT-1,Null
Consumer,Ohio,East,OFF-SU-10004768,Office Supplies,Supplies,Acme Kleencut Forged Steel Scissors,"9,184",2,12,MAT-2,Null
Home Office,California,West,OFF-PA-10003883,Office Supplies,Paper,"Message Book, Phone, Wirebound Standard Line Memo, 2 3/4"" X 5""","32,75",5,13,MAT,YTD-1
Home Office,Ohio,East,OFF-FA-10004248,Office Supplies,Fasteners,Advantus T-Pin Paper Clips,"7,216",2,1,MAT-1,Null
Home Office,Ohio,East,OFF-PA-10002581,Office Supplies,Paper,Xerox 1951,"49,568",2,2,MAT-2,Null
Home Office,Ohio,East,FUR-FU-10004848,Furniture,Furnishings,DAX Solid Wood Frames,"54,712",7,3,MAT,Null
Consumer,California,West,OFF-AP-10002403,Office Supplies,Appliances,Acco Smartsocket Color-Coded Six-Outlet AC Adapter Model Surge Protectors,"176,04",4,4,MAT-1,Null
Consumer,California,West,OFF-AR-10003087,Office Supplies,Art,Staples in misc. colors,"16,02",9,5,MAT-2,Null
Consumer,California,West,OFF-BI-10002026,Office Supplies,Binders,Avery Arch Ring Binders,"185,92",4,6,MAT,Null
Consumer,California,West,TEC-PH-10000141,Technology,Phones,Clearsounds A400,"211,168",4,7,MAT-1,Null
Consumer,California,West,TEC-CO-10000971,Technology,Copiers,Hewlett Packard 310 Color Digital Copier,"479,984",2,8,MAT-2,Null
Consumer,California,West,OFF-FA-10001229,Office Supplies,Fasteners,Staples,"7,86",2,9,MAT,Null
Consumer,California,West,OFF-BI-10002437,Office Supplies,Binders,Recycled Premium Regency Composition Covers,"24,448",2,10,MAT-1,Null
Consumer,New York,East,OFF-PA-10004255,Office Supplies,Paper,Xerox 219,"6,48",1,11,MAT-2,Null
Consumer,New York,East,OFF-PA-10001184,Office Supplies,Paper,Xerox 1903,"41,86",7,12,MAT,Null
Consumer,New York,East,TEC-AC-10002637,Technology,Accessories,Logitech VX Revolution Cordless Laser Mouse for Notebooks (Black),"1619,91",9,13,MAT-1,YTD-2
Consumer,New York,East,FUR-FU-10002878,Furniture,Furnishings,"Seth Thomas 14"" Day/Date Wall Clock","113,92",4,1,MAT,Null
Consumer,Massachusetts,East,OFF-AR-10000588,Office Supplies,Art,Newell 345,"39,68",2,2,MAT-1,Null
Corporate,New York,East,TEC-AC-10002217,Technology,Accessories,Imation Clip USB flash drive - 8 GB,"37,6",2,3,MAT-2,Null
Corporate,New York,East,TEC-AC-10001267,Technology,Accessories,Imation 32GB Pocket Pro USB 3.0 Flash Drive - 32 GB - Black - 1 P ...,"59,9",2,4,MAT,Null
Corporate,New York,East,OFF-PA-10004041,Office Supplies,Paper,"It's Hot Message Books with Stickers, 2 3/4"" x 5""",37,5,5,MAT-1,Null
Consumer,California,West,OFF-LA-10001613,Office Supplies,Labels,Avery File Folder Labels,"5,76",2,6,MAT-2,Null
Consumer,California,West,OFF-AR-10000246,Office Supplies,Art,Newell 318,"16,68",6,7,MAT,Null
Corporate,South Carolina,South,OFF-ST-10001809,Office Supplies,Storage,Fellowes Officeware Wire Shelving,"628,81",7,8,MAT-1,Null
Corporate,South Carolina,South,OFF-ST-10002214,Office Supplies,Storage,X-Rack File for Hanging Folders,"56,45",5,9,MAT-2,Null
Consumer,Missouri,Central,OFF-ST-10000649,Office Supplies,Storage,Hanging Personal Folder File,"94,2",6,10,MAT,Null
Consumer,Missouri,Central,OFF-EN-10001990,Office Supplies,Envelopes,Staple envelope,"28,4",5,11,MAT-1,Null
Corporate,Texas,Central,FUR-BO-10000780,Furniture,Bookcases,O'Sullivan Plantations 2-Door Library in Landvery Oak,"956,6648",7,12,MAT-2,Null
Consumer,California,West,TEC-AC-10002049,Technology,Accessories,Logitech G19 Programmable Gaming Keyboard,"1115,91",9,13,MAT,YTD
Consumer,California,West,TEC-PH-10003555,Technology,Phones,Motorola HK250 Universal Bluetooth Headset,"128,744",7,1,MAT-1,Null
Consumer,California,West,TEC-PH-10000702,Technology,Phones,"Square Credit Card Reader, 4 1/2"" x 4 1/2"" x 1"", White","79,92",10,2,MAT-2,Null
Consumer,California,West,OFF-AR-10003631,Office Supplies,Art,Staples in misc. colors,"24,2",5,3,MAT,Null
Consumer,California,West,TEC-PH-10003072,Technology,Phones,Panasonic KX-TG9541B DECT 6.0 Digital 2-Line Expandable Cordless Phone With Digital Answering System,"359,976",3,4,MAT-1,Null
Home Office,California,West,FUR-FU-10000758,Furniture,Furnishings,DAX Natural Wood-Tone Poster Frame,"211,84",8,5,MAT-2,Null
Home Office,Pennsylvania,East,OFF-FA-10000992,Office Supplies,Fasteners,"Acco Clips to Go Binder Clips, 24 Clips in Two Sizes","5,68",2,6,MAT,Null
Corporate,California,West,OFF-BI-10004187,Office Supplies,Binders,3-ring staple pack,"7,52",5,7,MAT-1,Null
Consumer,California,West,OFF-PA-10001947,Office Supplies,Paper,Xerox 1974,"11,96",2,8,MAT-2,Null
Consumer,California,West,FUR-TA-10002356,Furniture,Tables,Bevis Boat-Shaped Conference Table,"629,064",3,9,MAT,Null
Consumer,Wisconsin,Central,FUR-CH-10001714,Furniture,Chairs,"Global Leather & Oak Executive Chair, Burgundy","754,45",5,10,MAT-1,Null
Home Office,Massachusetts,East,FUR-BO-10002824,Furniture,Bookcases,Bush Mission Pointe Library,"301,96",2,11,MAT-2,Null
Corporate,New Mexico,West,TEC-AC-10002842,Technology,Accessories,WD My Passport Ultra 2TB Portable External Hard Drive,595,5,12,MAT,Null
Corporate,New Mexico,West,OFF-BI-10002082,Office Supplies,Binders,GBC Twin Loop Wire Binding Elements,"79,872",3,13,MAT-1,YTD-1
Corporate,Nevada,West,TEC-MA-10000112,Technology,Machines,Panasonic KX MB2061 Multifunction Printer,"2396,4",10,1,MAT-2,Null
Corporate,California,West,OFF-ST-10002289,Office Supplies,Storage,"Safco Wire Cube Shelving System, For Use as 4 or 5 14"" Cubes, Black","63,56",2,2,MAT,Null
Corporate,California,West,TEC-AC-10004171,Technology,Accessories,Razer Kraken 7.1 Surround Sound Over Ear USB Gaming Headset,"99,99",1,3,MAT-1,Null
Home Office,Illinois,Central,OFF-ST-10003656,Office Supplies,Storage,Safco Industrial Wire Shelving,"230,376",3,4,MAT-2,Null
Home Office,Illinois,Central,OFF-PA-10001560,Office Supplies,Paper,"Adams Telephone Message Books, 5 1/4” x 11”","9,664",2,5,MAT,Null
Consumer,Ohio,East,TEC-AC-10002473,Technology,Accessories,Maxell 4.7GB DVD-R,"158,928",7,6,MAT-1,Null
Consumer,Ohio,East,OFF-BI-10000632,Office Supplies,Binders,Satellite Sectional Post Binders,"13,023",1,7,MAT-2,Null
Consumer,Ohio,East,FUR-TA-10002645,Furniture,Tables,Hon Rectangular Conference Tables,"273,06",2,8,MAT,Null
Consumer,Ohio,East,OFF-FA-10002975,Office Supplies,Fasteners,Staples,"39,312",13,9,MAT-1,Null
Corporate,Texas,Central,OFF-BI-10003784,Office Supplies,Binders,Computer Printout Index Tabs,"1,344",4,10,MAT-2,Null
Corporate,Texas,Central,OFF-BI-10001617,Office Supplies,Binders,GBC Wire Binding Combs,"8,272",4,11,MAT,Null
Corporate,Texas,Central,FUR-FU-10004415,Furniture,Furnishings,"Stacking Tray, Side-Loading, Legal, Smoke","12,544",7,12,MAT-1,Null
Home Office,California,West,OFF-LA-10000240,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,"58,48",8,13,MAT-2,YTD-2
Corporate,Washington,West,FUR-FU-10001935,Furniture,Furnishings,3M Hangers With Command Adhesive,"7,4",2,1,MAT,Null
Consumer,New York,East,FUR-CH-10002439,Furniture,Chairs,"Iceberg Nesting Folding Chair, 19w x 6d x 43h","366,786",7,2,MAT-1,Null
Consumer,Texas,Central,TEC-PH-10001536,Technology,Phones,Spigen Samsung Galaxy S5 Case Wallet,"54,368",4,3,MAT-2,Null
Corporate,Virginia,South,OFF-EN-10001532,Office Supplies,Envelopes,Brown Kraft Recycled Envelopes,"33,96",2,4,MAT,Null
Corporate,Virginia,South,OFF-AP-10003057,Office Supplies,Appliances,Honeywell Enviracaire Portable HEPA Air Cleaner for 16' x 20' Room,"826,11",3,5,MAT-1,Null
Consumer,New Mexico,West,FUR-FU-10003708,Furniture,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""","545,85",9,6,MAT-2,Null
Consumer,Colorado,West,FUR-TA-10000849,Furniture,Tables,Bevis Rectangular Conference Tables,"145,98",2,7,MAT,Null
Consumer,Colorado,West,OFF-PA-10002259,Office Supplies,Paper,"Geographics Note Cards, Blank, White, 8 1/2"" x 11""","35,808",4,8,MAT-1,Null
Consumer,Florida,South,FUR-FU-10002597,Furniture,Furnishings,"C-Line Magnetic Cubicle Keepers, Clear Polypropylene","7,904",2,9,MAT-2,Null
Consumer,New Jersey,East,TEC-PH-10004614,Technology,Phones,AT&T 841000 Phone,345,5,10,MAT,Null
Consumer,New Jersey,East,FUR-TA-10003748,Furniture,Tables,Bevis 36 x 72 Conference Tables,"174,286",2,11,MAT-1,Null
Consumer,New Jersey,East,OFF-AP-10003217,Office Supplies,Appliances,Eureka Sanitaire  Commercial Upright,"662,84",4,12,MAT-2,Null
Consumer,New Jersey,East,TEC-AC-10002399,Technology,Accessories,SanDisk Cruzer 32 GB USB Flash Drive,"95,1",5,13,MAT,YTD
Consumer,New Jersey,East,OFF-EN-10002973,Office Supplies,Envelopes,Ampad #10 Peel & Seel Holiday Envelopes,"26,88",6,1,MAT-1,Null
Consumer,New Jersey,East,TEC-PH-10001336,Technology,Phones,Digium D40 VoIP phone,"257,98",2,2,MAT-2,Null
Consumer,California,West,OFF-EN-10000461,Office Supplies,Envelopes,"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes","17,48",2,3,MAT,Null
Consumer,Pennsylvania,East,FUR-CH-10000988,Furniture,Chairs,Hon Olson Stacker Stools,"492,835",5,4,MAT-1,Null
Consumer,South Carolina,South,OFF-ST-10001809,Office Supplies,Storage,Fellowes Officeware Wire Shelving,"269,49",3,5,MAT-2,Null
Home Office,California,West,OFF-BI-10003963,Office Supplies,Binders,Cardinal Holdit Data Disk Pockets,"29,12",5,6,MAT,Null
